Date,U1.25.T.50.WIN.25.11.daily_ret,U2.base.algo.A.daily_ret,SPX.dailyRet,longHT_shortLT
7/18/2014,0.008662398,0.00803465,0.010271051,-0.000627748
7/21/2014,-0.002600828,-0.003424113,-0.002290836,-0.000823285
7/22/2014,0.003900964,0.002324177,0.005016774,-0.001576787
7/23/2014,0.001549106,0.002485166,0.001764894,0.00093606
7/24/2014,0.002379075,0.006386841,0.000499403,0.004007766
7/25/2014,-0.00411793,-0.004933058,-0.004830704,-0.000815128
7/28/2014,-0.000905829,0.004676452,0.000292587,0.005582281
7/29/2014,-0.010968197,0.004296074,-0.004479446,0.015264271
7/30/2014,0.002753023,-0.005539725,0.000223861,-0.008292748
7/31/2014,-0.016900443,-0.01704439,-0.019935934,-0.000143947
8/1/2014,-0.000657739,-0.001054925,-0.002857396,-0.000397186
8/4/2014,0.00797571,0.00295293,0.007194018,-0.00502278
8/5/2014,-0.0067455,-0.01240169,-0.009592674,-0.00565619
8/6/2014,-0.001691366,-0.002492464,0.000318548,-0.000801098
8/7/2014,-0.004931788,-0.000614052,-0.005316051,0.004317736
8/8/2014,0.012268162,0.015869579,0.011557076,0.003601417
8/11/2014,0.002786805,0.002262636,0.00294251,-0.000524169
8/12/2014,-0.00256836,0.000662353,-0.001583498,0.003230713
8/13/2014,0.005722924,0.005305074,0.006964772,-0.00041785
8/14/2014,0.0047529,0.004015203,0.004397102,-0.000737697
8/15/2014,0.000353095,-0.001415415,5.63E-05,-0.00176851
8/18/2014,0.009409106,0.007526794,0.008594746,-0.001882312
8/19/2014,0.002334214,0.005621557,0.005199989,0.003287343
8/20/2014,0.001159724,0.001745873,0.002543505,0.000586149
8/21/2014,0.002909361,0.004490368,0.002974665,0.001581007
8/22/2014,-0.002663976,-0.005481858,-0.001858485,-0.002817882
8/25/2014,0.005084668,0.003527328,0.004802877,-0.00155734
8/26/2014,2.76E-05,-0.001710243,0.001060063,-0.001737864
8/27/2014,0.00052618,0.002956037,0.000255796,0.002429857
8/28/2014,-0.001665388,0.000226083,-0.001556382,0.001891471
8/29/2014,0.00303783,0.004764974,0.00340404,0.001727144
9/2/2014,5.37E-05,0.000312728,-0.000499542,0.000259048
9/3/2014,-0.001282489,0.001383562,-0.000595905,0.002666051
9/4/2014,-0.000867858,-0.001664536,-0.001505763,-0.000796678
9/5/2014,0.002471378,0.009466874,0.00506072,0.006995496
9/8/2014,-0.00130949,-0.005432947,-0.002902313,-0.004123457
9/9/2014,-0.003844931,-0.005546963,-0.006527243,-0.001702032
9/10/2014,0.000916852,-0.002319186,0.003748041,-0.003236038
9/11/2014,0.001587098,0.004909394,0.001159317,0.003322296
9/12/2014,-0.004218239,-0.013473495,-0.00594115,-0.009255256
9/15/2014,-0.002312555,0.006078572,-0.000702811,0.008391127
9/16/2014,0.008338202,0.003682865,0.007498228,-0.004655337
9/17/2014,-0.000860032,0.000315347,0.001319189,0.001175379
9/18/2014,0.006374865,0.000952504,0.005031015,-0.005422361
9/19/2014,-0.006064707,0.002292612,-0.000464261,0.008357319
9/22/2014,-0.008892796,-0.007996518,-0.008013596,0.000896278
9/23/2014,-0.003254826,-0.00354146,-0.005673837,-0.000286634
9/24/2014,0.008311814,0.003867689,0.007850198,-0.004444125
9/25/2014,-0.014890678,-0.011438234,-0.016169017,0.003452444
9/26/2014,0.007275531,0.007317788,0.008763525,4.2257E-05
9/29/2014,-0.000658592,-0.00033362,-0.002461936,0.000324972
9/30/2014,-0.004280319,-0.003061802,-0.002731747,0.001218517
10/1/2014,-0.009845135,-0.005438353,-0.013158884,0.004406782
10/2/2014,-0.002104427,0.000439136,9.03E-05,0.002543563
10/3/2014,0.006482239,0.008492286,0.011181,0.002010047
10/6/2014,-0.001022546,0.000446352,-0.001539775,0.001468898
10/7/2014,-0.017000963,-0.010745404,-0.015122562,0.006255559
10/8/2014,0.014675867,0.017508379,0.017808464,0.002832512
10/9/2014,-0.023069574,-0.01515725,-0.020609966,0.007912324
10/10/2014,-0.011468176,-0.000928238,-0.011351348,0.010539938
10/13/2014,-0.021586732,-0.010531156,-0.016469836,0.011055576
10/14/2014,0.006462835,0.004299713,0.001586182,-0.002163122
10/15/2014,-0.008401001,-0.005326473,-0.008006007,0.003074528
10/16/2014,-0.000439086,0.005406923,0.000179674,0.005846009
10/17/2014,0.012239459,0.005374086,0.012884169,-0.006865373
10/20/2014,0.00950398,0.013603916,0.009158601,0.004099936
10/21/2014,0.026063133,0.016672823,0.019594398,-0.00939031
10/22/2014,-0.005926257,-0.004507186,-0.007185849,0.001419071
10/23/2014,0.011585452,0.010013826,0.012304075,-0.001571626
10/24/2014,0.007512935,0.008174268,0.007062727,0.000661333
10/27/2014,0.002141108,0.000604827,-0.001493654,-0.001536281
10/28/2014,0.015107117,0.00818059,0.011936351,-0.006926527
10/29/2014,0.002044833,-0.001131812,-0.001279302,-0.003176645
10/30/2014,0.00611676,0.008233946,0.006299574,0.002117186
10/31/2014,0.014384294,0.010176521,0.011736728,-0.004207773
11/3/2014,-0.000667753,-0.000723956,-0.000111413,-0.000056203
11/4/2014,-0.008044972,-0.003359497,-0.00282641,0.004685475
11/5/2014,0.011139479,0.009515088,0.006050398,-0.001624391
11/6/2014,0.006730406,-0.00347894,0.004082484,-0.010209346
11/7/2014,0.001054344,0.007145787,0.000542298,0.006091443
11/10/2014,0.002108641,0.002910649,0.003179217,0.000802008
11/11/2014,0.002216761,-0.000387071,0.00069619,-0.002603832
11/12/2014,-0.000747118,-0.003248144,-0.000413663,-0.002501026
11/13/2014,-0.000371611,-0.000255427,0.000612689,0.000116184
11/14/2014,0.00195406,-0.001227463,0.000359869,-0.003181523
11/17/2014,-0.003787659,0.005215721,0.000789279,0.00900338
11/18/2014,0.005977304,0.003575567,0.005332818,-0.002401737
11/19/2014,0.000728398,-0.003313566,-0.0014382,-0.004041964
11/20/2014,0.005808269,-0.002573471,0.002009433,-0.00838174
11/21/2014,0.004540466,0.007240667,0.005376186,0.002700201
11/24/2014,0.00497635,-8.19E-05,0.002877961,-0.005058298
11/25/2014,-0.001613016,-0.002065567,-0.001042085,-0.000452551
11/26/2014,-0.000153448,0.007155065,0.003039498,0.007308513
11/28/2014,0.001757191,-0.005491214,-0.002497083,-0.007248405
12/1/2014,-0.008526518,-0.002004056,-0.006787582,0.006522462
12/2/2014,0.008176791,0.003066468,0.006436985,-0.005110323
12/3/2014,0.006352874,0.001960834,0.004029152,-0.00439204
12/4/2014,0.00056604,-0.000552233,-0.001146943,-0.001118273
12/5/2014,0.006926235,-0.000979841,0.001673556,-0.007906076
12/8/2014,-0.004303356,0.001587392,-0.007109954,0.005890748
12/9/2014,0.001621895,-0.007460007,-0.00023091,-0.009081902
12/10/2014,-0.0156022,-0.011284724,-0.01627894,0.004317476
12/11/2014,0.0051664,0.006049834,0.004806356,0.000883434
12/12/2014,-0.017899854,-0.01738028,-0.016173737,0.000519574
12/15/2014,-0.00035894,-0.005356011,-0.006314324,-0.004997071
12/16/2014,-0.00556817,-0.00446206,-0.008491828,0.00110611
12/17/2014,0.019256349,0.015198027,0.020404205,-0.004058322
12/18/2014,0.022922157,0.009348161,0.024172482,-0.013573996
12/19/2014,0.003417666,0.001796954,0.00457351,-0.001620712
12/22/2014,0.005751261,0.011062934,0.003950942,0.005311673
12/23/2014,0.006445147,0.004164601,0.001798136,-0.002280546
12/24/2014,-0.002964276,0.001594457,-0.000102341,0.004558733
12/26/2014,-0.001095637,0.003297216,0.003309373,0.004392853
12/29/2014,0.004067854,0.004458741,0.00103322,0.000390887
12/30/2014,-0.003417998,-0.008247634,-0.004771424,-0.004829636
12/31/2014,-0.009737529,-0.012385659,-0.010305381,-0.00264813
1/2/2015,-0.002612359,0.003918777,-0.000201621,0.006531136
1/5/2015,-0.029535729,-0.014251194,-0.018215927,0.015284535
1/6/2015,-0.01618372,-0.005032671,-0.008889117,0.011151049
1/7/2015,0.014521334,0.008976467,0.011943913,-0.005544867
1/8/2015,0.0164322,0.013183144,0.017909209,-0.003249056
