Date,U1.25.T.50.WIN.25.11.daily_ret,U2.base.algo.A.daily_ret,SPX.dailyRet
2014-11-17,-0.003787659,0.005215721,0.000789279
2014-11-18,0.005977304,0.003575567,0.005332818
2014-11-19,0.000728398,-0.003313566,-0.0014382
2014-11-20,0.005808269,-0.002573471,0.002009433
2014-11-21,0.004540466,0.007240667,0.005376186
2014-11-24,0.00497635,-8.19478E-05,0.002877961
2014-11-25,-0.001613016,-0.002065567,-0.001042085
2014-11-26,-0.000153448,0.007155065,0.003039498
2014-11-28,0.001757191,-0.005491214,-0.002497083
2014-12-01,-0.008526518,-0.002004056,-0.006787582
2014-12-02,0.008176791,0.003066468,0.006436985
2014-12-03,0.006352874,0.001960834,0.004029152
2014-12-04,0.00056604,-0.000552233,-0.001146943
2014-12-05,0.006926235,-0.000979841,0.001673556
2014-12-08,-0.004303356,0.001587392,-0.007109954
2014-12-09,0.001621895,-0.007460007,-0.00023091
2014-12-10,-0.0156022,-0.011284724,-0.01627894
2014-12-11,0.0051664,0.006049834,0.004806356
2014-12-12,-0.017899854,-0.01738028,-0.016173737
2014-12-15,-0.00035894,-0.005356011,-0.006314324
2014-12-16,-0.00556817,-0.00446206,-0.008491828
2014-12-17,0.019256349,0.015198027,0.020404205
2014-12-18,0.022922157,0.009348161,0.024172482
2014-12-19,0.003417666,0.001796954,0.00457351
2014-12-22,0.005751261,0.011062934,0.003950942
2014-12-23,0.006445147,0.004164601,0.001798136
2014-12-24,-0.002964276,0.001594457,-0.000102341
2014-12-26,-0.001095637,0.003297216,0.003309373
2014-12-29,0.004067854,0.004458741,0.00103322
2014-12-30,-0.003417998,-0.008247634,-0.004771424
2014-12-31,-0.009737529,-0.012385659,-0.010305381
2015-01-02,-0.002612359,0.003918777,-0.000201621
2015-01-05,-0.029535729,-0.014251194,-0.018215927
2015-01-06,-0.01618372,-0.005032671,-0.008889117
2015-01-07,0.014521334,0.008976467,0.011943913
2015-01-08,0.0164322,0.013183144,0.017909209
2015-01-09,-0.010596626,-0.00545899,-0.008399958
2015-01-12,-0.009377112,-0.006206204,-0.00809201
2015-01-13,-0.00112049,-0.002239979,-0.002478898
2015-01-14,-0.008267752,0.005148294,-0.005782281
2015-01-15,-0.009114073,-0.003396655,-0.009221868
2015-01-16,0.012054713,0.01194021,0.013435632
2015-01-20,0.00230401,-8.60499E-05,0.001581171
2015-01-21,0.004958383,0.003957895,0.004852063
2015-01-22,0.015405464,0.007812047,0.015278143
2015-01-23,-0.004774368,-0.003391252,-0.005488677
2015-01-26,0.007112887,0.003066894,0.002577292
2015-01-27,-0.008982562,-0.008396866,-0.013386568
2015-01-28,-0.01439239,-0.015208257,-0.013414933
2015-01-29,0.012182765,0.006798013,0.009607261
2015-01-30,-0.015508992,-0.008915068,-0.012976636
2015-02-02,0.012657269,0.012835817,0.012988611
2015-02-03,0.019240662,0.025006858,0.014463641
2015-02-04,-0.001793084,-0.008245812,-0.003859113
2015-02-05,0.003760283,0.011574849,0.010492033
2015-02-06,0.001110445,-0.014456327,-0.003149036
2015-02-09,-0.004065485,-0.003951552,-0.004201369
2015-02-10,0.011838294,0.012936366,0.010723532
2015-02-11,0.001509687,-0.004226202,0.000316237
2015-02-12,0.010853739,0.008499129,0.009887192
2015-02-13,0.007157028,-0.001036377,0.004158243
2015-02-17,0.004300602,-0.000697748,0.00175357
2015-02-18,-0.006124439,-0.001245659,-0.000269707
2015-02-19,0.000734781,-0.004692248,-0.00090013
2015-02-20,0.007162125,0.000668709,0.006249464
2015-02-23,7.28181E-05,3.76295E-05,-0.000294148
2015-02-24,-0.000578562,0.001778121,0.002790066
2015-02-25,-0.001519261,-0.00657106,-0.000597127
2015-02-26,-0.005426934,-0.008350954,-0.001313434
2015-02-27,-0.002706546,0.002269214,-0.00294751
2015-03-02,0.009582502,0.004265899,0.006181429
2015-03-03,-0.009917943,-0.002462312,-0.00452662
2015-03-04,-0.004013531,-0.00683864,-0.004183117
2015-03-05,0.002800538,0.002756328,0.001239463
2015-03-06,-0.018028878,-0.017964726,-0.014049709
2015-03-09,0.005863732,0.003768681,0.004039884
2015-03-10,-0.018413876,-0.013672026,-0.016897672
2015-03-11,0.000294536,-0.002717539,-0.001764316
2015-03-12,0.016919133,0.01766962,0.012857219
2015-03-13,-0.005689717,-0.004342135,-0.006050908
2015-03-16,0.011824138,0.013056888,0.013552446
2015-03-17,-0.007474307,-0.002796504,-0.003320601
2015-03-18,0.013729654,0.016061632,0.012183774
2015-03-19,-0.005470104,-0.006495162,-0.004860944
2015-03-20,0.010327409,0.012451725,0.009014683
2015-03-23,-0.005724508,0.004192263,-0.001746078
2015-03-24,-0.001480954,-0.012516688,-0.006056081
2015-03-25,-0.0088132,-0.012087542,-0.014535813
2015-03-26,-0.002395063,0.000405279,-0.00235286
2015-03-27,0.003585943,0.004905256,0.002561994
2015-03-30,0.012606024,0.013431835,0.012328912
2015-03-31,-0.006948801,-0.003046255,-0.008695765
2015-04-01,0.001962459,-0.005114684,-0.003839412
2015-04-02,0.009371224,0.005639911,0.003556109
